franchID,name,active,firstYear,lastYear,seasons,W,L,pennants,titles,teamID,lgID,nameCount,former
TT,Toledo Tigers,N,1923,1923,1,10,17,0,0,TT,NNL,1,
PC,Toledo-Indianapolis Crawfords,N,1932,1940,9,287,228,2,0,TIC,NAL,3,Pittsburgh|Toledo
TOR,Toronto Blue Jays,Y,1977,2025,49,3855,3856,3,2,TOR,AL,1,
TRO,Troy Haymakers,NA,1871,1872,2,28,25,0,0,TRO,NA,1,
TRT,Troy Trojans,N,1879,1882,4,134,191,0,0,TRN,NL,1,
SEN,Washington Black Senators,N,1938,1938,1,2,19,0,0,SEN,NN2,1,
WBL,Washington Blue Legs,NA,1873,1873,1,8,31,0,0,WS5,NA,1,
NAT,Washington Nationals,NA,1872,1872,1,0,11,0,0,WS4,NA,1,
WNT,Washington Nationals,NA,1875,1875,1,5,23,0,0,WS6,NA,1,
WST,Washington Nationals,N,1884,1884,1,12,51,0,0,WS7,AA,1,
WNA,Washington Nationals,N,1884,1884,1,47,65,0,0,WSU,UA,1,
WNL,Washington Nationals,N,1886,1889,4,163,337,0,0,WS8,NL,1,
WSN,Washington Nationals,Y,1969,2025,57,4331,4665,1,1,WAS,NL,2,Montreal
OLY,Washington Olympics,NA,1871,1872,2,17,22,0,0,WS3,NA,1,
WAP,Washington Pilots,N,1932,1932,1,12,22,0,0,WAP,EWL,1,
WAS,Washington Senators,N,1891,1899,9,454,788,0,0,WAS,NL,2,
WBS,West Baden Sprudels,N,1910,1913,4,43,58,0,0,WBS,WES,1,
WP,Wilmington Potomacs,N,1924,1925,2,31,59,0,0,WMP,ECL,2,Washington
WIL,Wilmington Quicksteps,N,1884,1884,1,2,16,0,0,WIL,UA,1,
WOR,Worcester Ruby Legs,N,1880,1882,3,90,159,0,0,WOR,NL,1,
