franchID,kind,label,firstYear,lastYear,teamID,lgID
PHI,location,Philadelphia,1883,2025,,
QG,name,Philadelphia Quaker Giants,1906,1906,QG,EAS
QG,location,Philadelphia,1906,1906,,
PS,name,Philadelphia Stars,1933,1948,PS,NN2
PS,location,Philadelphia,1933,1948,,
PTG,name,Philadelphia Tigers,1928,1928,PTG,ECL
PTG,location,Philadelphia,1928,1928,,
PWS,name,Philadelphia Whites,1873,1875,PH2,NA
PWS,location,Philadelphia,1873,1875,,
PBB,name,Pittsburgh Burghers,1890,1890,PTP,PL
PBB,location,Pittsburgh,1890,1890,,
PBK,name,Pittsburgh Keystones,1922,1922,PK,NNL
PBK,location,Pittsburgh,1922,1922,,
PIT,name,Pittsburg Alleghenys,1882,1890,PIT,NL
PIT,name,Pittsburgh Pirates,1891,2025,PIT,NL
PIT,location,Pittsburgh,1882,2025,,
PBS,name,Pittsburgh Rebels,1914,1915,PTF,FL
PBS,location,Pittsburgh,1914,1915,,
CUP,name,Pollock's Cuban Stars,1932,1932,CUP,EWL
PRO,name,Providence Grays,1878,1885,PRO,NL
PRO,location,Providence,1878,1885,,
RIC,name,Richmond Virginians,1884,1884,RIC,AA
RIC,location,Richmond,1884,1884,,
ROC,name,Rochester Broncos,1890,1890,RC2,AA
ROC,location,Rochester,1890,1890,,
ROK,name,Rockford Forest Citys,1871,1871,RC1,NA
ROK,location,Rockford,1871,1871,,
SDP,name,San Diego Padres,1969,2025,SDN,NL
SDP,location,San Diego,1969,2025,,
SFG,name,New York Gothams,1883,1884,NY1,NL
SFG,name,New York Giants,1885,1957,NY1,NL
SFG,name,San Francisco Giants,1958,2025,SFN,NL
SFG,location,New York,1883,1957,,
SFG,location,San Francisco,1958,2025,,
MOH,name,Schenectady Mohawk Giants,1913,1913,MOH,EAS
MOH,location,Schenectady,1913,1913,,
SEA,name,Seattle Mariners,1977,2025,SEA,AL
SEA,location,Seattle,1977,2025,,
SNA,name,St. Louis Brown Stockings,1875,1875,SL2,NA
SNA,location,St. Louis,1875,1875,,
SBS,name,St. Louis Brown Stockings,1876,1877,SL3,NL
SBS,location,St. Louis,1876,1877,,
STL,name,St. Louis Brown Stockings,1882,1882,SL4,AA
STL,name,St. Louis Browns,1883,1898,SLN,NL
STL,name,St. Louis Perfectos,1899,1899,SLN,NL
STL,name,St. Louis Cardinals,1900,2025,SLN,NL
STL,location,St. Louis,1882,2025,,
SLM,name,St. Louis Maroons,1884,1886,SL5,NL
SLM,location,St. Louis,1884,1886,,
SLR,name,St. Louis Red Stockings,1875,1875,SL1,NA
SLR,location,St. Louis,1875,1875,,
