yearID,lgID,divID,teamID,franchID,name,Rank,G,W,L,R,RA,WSWin,LgWin
1886,NL,,SL5,SLM,St. Louis Maroons,6,126,43,79,547,712,N,N
1886,NL,,WS8,WNL,Washington Nationals,8,122,28,92,445,791,N,N
1887,AA,,BL2,BLO,Baltimore Orioles,3,141,77,58,975,861,N,N
1887,AA,,BR3,LAD,Brooklyn Grays,6,138,60,74,904,918,N,N
1887,NL,,BSN,ATL,Boston Beaneaters,5,127,61,60,834,792,N,N
1887,NL,,CHN,CHC,Chicago White Stockings,3,127,71,50,813,716,N,N
1887,AA,,CL3,CLV,Cleveland Blues,8,133,39,92,729,1112,N,N
1887,AA,,CN2,CIN,Cincinnati Red Stockings,2,135,81,54,892,745,N,N
1887,NL,,DTN,DTN,Detroit Wolverines,1,127,79,45,969,710,Y,Y
1887,NL,,IN3,IND,Indianapolis Hoosiers,8,127,37,89,628,965,N,N
1887,AA,,LS2,LOU,Louisville Colonels,4,137,76,60,956,854,N,N
1887,NL,,NY1,SFG,New York Giants,4,129,68,55,816,723,N,N
1887,AA,,NY4,NYP,New York Metropolitans,7,138,44,89,754,1093,N,N
1887,AA,,PH4,PHA,Philadelphia Athletics,5,137,64,69,893,890,N,N
1887,NL,,PHI,PHI,Philadelphia Quakers,2,128,75,48,901,702,N,N
1887,NL,,PIT,PIT,Pittsburg Alleghenys,6,125,55,69,621,750,N,N
1887,AA,,SL4,STL,St. Louis Browns,1,137,95,40,1131,761,N,Y
1887,NL,,WS8,WNL,Washington Nationals,7,126,46,76,601,825,N,N
1888,AA,,BL2,BLO,Baltimore Orioles,5,137,57,80,653,779,N,N
1888,AA,,BR3,LAD,Brooklyn Bridegrooms,2,143,88,52,758,584,N,N
1888,NL,,BSN,ATL,Boston Beaneaters,4,137,70,64,669,619,N,N
1888,NL,,CHN,CHC,Chicago White Stockings,2,135,77,58,734,659,N,N
1888,AA,,CL3,CLV,Cleveland Blues,6,135,50,82,651,839,N,N
1888,AA,,CN2,CIN,Cincinnati Red Stockings,4,137,80,54,745,628,N,N
1888,NL,,DTN,DTN,Detroit Wolverines,5,134,68,63,721,629,N,N
1888,NL,,IN3,IND,Indianapolis Hoosiers,7,136,50,85,603,731,N,N
1888,AA,,KC2,KCC,Kansas City Cowboys,8,132,43,89,579,896,N,N
1888,AA,,LS2,LOU,Louisville Colonels,7,139,48,87,689,870,N,N
1888,NL,,NY1,SFG,New York Giants,1,137,84,47,659,479,Y,Y
1888,AA,,PH4,PHA,Philadelphia Athletics,3,136,81,52,827,594,N,N
1888,NL,,PHI,PHI,Philadelphia Quakers,3,131,69,61,535,509,N,N
1888,NL,,PIT,PIT,Pittsburg Alleghenys,6,138,66,68,534,580,N,N
1888,AA,,SL4,STL,St. Louis Browns,1,137,92,43,789,501,N,Y
1888,NL,,WS8,WNL,Washington Nationals,8,136,48,86,482,731,N,N
1889,AA,,BL2,BLO,Baltimore Orioles,5,139,70,65,791,795,N,N
1889,AA,,BR3,LAD,Brooklyn Bridegrooms,1,138,93,44,995,706,N,Y
1889,NL,,BSN,ATL,Boston Beaneaters,2,133,83,45,826,626,N,N
1889,NL,,CHN,CHC,Chicago White Stockings,3,136,67,65,867,814,N,N
1889,NL,,CL4,CLV,Cleveland Spiders,6,136,61,72,656,720,N,N
1889,AA,,CL6,CLS,Columbus Solons,6,139,60,78,779,924,N,N
1889,AA,,CN2,CIN,Cincinnati Red Stockings,4,141,76,63,897,769,N,N
1889,NL,,IN3,IND,Indianapolis Hoosiers,7,135,59,75,819,894,N,N
1889,AA,,KC2,KCC,Kansas City Cowboys,7,139,55,82,852,1031,N,N
1889,AA,,LS2,LOU,Louisville Colonels,8,140,27,111,632,1091,N,N
1889,NL,,NY1,SFG,New York Giants,1,131,83,43,935,708,Y,Y
1889,AA,,PH4,PHA,Philadelphia Athletics,3,138,75,58,880,787,N,N
1889,NL,,PHI,PHI,Philadelphia Quakers,4,130,63,64,742,748,N,N
1889,NL,,PIT,PIT,Pittsburg Alleghenys,5,134,61,71,726,801,N,N
1889,AA,,SL4,STL,St. Louis Browns,2,140,90,45,957,680,N,N
1889,NL,,WS8,WNL,Washington Nationals,8,127,41,83,632,892,N,N
1890,PL,,BFP,BFB,Buffalo Bisons,8,134,36,96,793,1199,,N
1890,AA,,BL3,BLO,Baltimore Orioles,6,38,15,19,182,192,N,N
1890,AA,,BR4,BRG,Brooklyn Gladiators,9,100,26,72,492,733,N,N
1890,NL,,BRO,LAD,Brooklyn Bridegrooms,1,129,86,43,884,620,N,Y
1890,PL,,BRP,BWW,Brooklyn Ward's Wonders,2,133,76,56,964,893,,N
1890,NL,,BSN,ATL,Boston Beaneaters,5,134,76,57,763,593,N,N
1890,PL,,BSP,BRS,Boston Reds,1,133,81,48,1031,781,,Y
1890,NL,,CHN,CHC,Chicago Colts,2,139,83,53,847,692,N,N
1890,PL,,CHP,CHP,Chicago Pirates,4,138,75,62,886,770,,N
1890,NL,,CIN,CIN,Cincinnati Reds,4,134,77,55,753,633,N,N
1890,NL,,CL4,CLV,Cleveland Spiders,7,136,44,88,630,832,N,N
1890,AA,,CL6,CLS,Columbus Solons,2,140,79,55,831,617,N,N
1890,PL,,CLP,CLI,Cleveland Infants,7,131,55,75,849,1027,,N
1890,AA,,LS2,LOU,Louisville Colonels,1,134,88,44,819,588,N,Y
1890,NL,,NY1,SFG,New York Giants,6,135,63,68,713,698,N,N
1890,PL,,NYP,NYI,New York Giants,3,132,74,57,1018,875,,N
1890,AA,,PH4,PHA,Philadelphia Athletics,8,132,54,78,702,945,N,N
1890,NL,,PHI,PHI,Philadelphia Phillies,3,133,78,53,823,707,N,N
1890,PL,,PHP,PHQ,Philadelphia Athletics,5,132,68,63,941,855,,N
1890,NL,,PIT,PIT,Pittsburg Alleghenys,8,138,23,113,597,1235,N,N
1890,PL,,PTP,PBB,Pittsburgh Burghers,6,131,60,68,849,931,,N
1890,AA,,RC2,ROC,Rochester Broncos,5,133,63,63,709,711,N,N
1890,AA,,SL4,STL,St. Louis Browns,3,138,77,58,870,736,N,N
1890,AA,,SR2,SYS,Syracuse Stars,7,127,55,72,698,831,N,N
1890,AA,,TL2,TLM,Toledo Maumees,4,134,68,64,739,689,N,N
1891,AA,,BL3,BLO,Baltimore Orioles,4,139,71,64,850,798,,N
1891,NL,,BRO,LAD,Brooklyn Grooms,6,137,61,76,765,820,,N
1891,AA,,BS2,BRS,Boston Reds,1,139,93,42,1028,675,,Y
1891,NL,,BSN,ATL,Boston Beaneaters,1,140,87,51,847,658,,Y
1891,IND,,CBG,CBG,Cuban Giants,2,13,5,8,68,97,,
1891,NL,,CHN,CHC,Chicago Colts,2,137,82,53,832,730,,N
1891,NL,,CIN,CIN,Cincinnati Reds,7,138,56,81,646,790,,N
1891,NL,,CL4,CLV,Cleveland Spiders,5,141,65,74,835,888,,N
1891,AA,,CL6,CLS,Columbus Solons,6,138,61,76,702,777,,N
1891,AA,,CN3,CKK,Cincinnati Kelly's Killers,7,102,43,57,549,643,,N
1891,IND,,GOR,GOR,New York Gorhams,1,13,8,5,97,68,,
1891,AA,,LS2,LOU,Louisville Colonels,8,138,54,83,698,873,,N
1891,AA,,ML3,MLA,Milwaukee Brewers,3,36,21,15,227,156,,N
1891,NL,,NY1,SFG,New York Giants,3,136,71,61,754,711,,N
1891,AA,,PH4,PHQ,Philadelphia Athletics,5,142,73,66,817,794,,N
1891,NL,,PHI,PHI,Philadelphia Phillies,4,138,68,69,756,773,,N
1891,NL,,PIT,PIT,Pittsburgh Pirates,8,137,55,80,679,744,,N
1891,AA,,SL4,STL,St. Louis Browns,2,139,85,51,959,738,,N
1891,AA,,WS9,WAS,Washington Statesmen,9,139,44,91,691,1067,,N
1892,NL,,BLN,BLO,Baltimore Orioles,12,152,46,101,779,1020,,N
1892,NL,,BRO,LAD,Brooklyn Grooms,3,158,95,59,935,733,,N
1892,NL,,BSN,ATL,Boston Beaneaters,1,152,102,48,862,649,,Y
1892,NL,,CHN,CHC,Chicago Colts,7,146,70,76,635,735,,N
1892,NL,,CIN,CIN,Cincinnati Reds,5,155,82,68,766,731,,N
1892,NL,,CL4,CLV,Cleveland Spiders,2,152,93,56,855,613,,N
1892,NL,,LS3,LOU,Louisville Colonels,9,154,63,89,649,804,,N
1892,NL,,NY1,SFG,New York Giants,8,152,71,80,811,826,,N
1892,NL,,PHI,PHI,Philadelphia Phillies,4,155,87,66,860,690,,N
1892,NL,,PIT,PIT,Pittsburgh Pirates,6,152,80,73,802,796,,N
1892,NL,,SLN,STL,St. Louis Browns,11,155,56,94,703,922,,N
1892,NL,,WAS,WAS,Washington Senators,10,153,58,93,731,869,,N
1893,NL,,BLN,BLO,Baltimore Orioles,8,130,60,70,820,893,,N
1893,NL,,BRO,LAD,Brooklyn Grooms,7,130,65,63,775,845,,N
1893,NL,,BSN,ATL,Boston Beaneaters,1,131,86,43,1008,795,,Y
1893,NL,,CHN,CHC,Chicago Colts,9,128,56,71,829,874,,N
1893,NL,,CIN,CIN,Cincinnati Reds,6,131,65,63,759,814,,N
